Year,Month,Day,Period,a,b,c,d,e
2009,1,1,1,10,60,0,100,100
2009,1,1,2,10,60,0,100,100
2009,1,1,3,10,60,0,100,100
2009,1,1,4,10,60,0,100,100
2009,1,1,5,10,60,0,100,100
2009,1,1,6,10,60,0,100,100
2009,1,1,7,10,60,0,100,100
2009,1,1,8,10,60,0,100,100
2009,1,1,9,10,60,0,100,100
2009,1,1,10,10,60,0,100,100
2009,1,1,11,10,60,0,100,100
2009,1,1,12,10,60,0,100,100
2009,1,1,13,10,60,0,100,100
2009,1,1,14,10,60,0,100,100
2009,1,1,15,10,60,0,100,100
2009,1,1,16,10,60,0,100,100
2009,1,1,17,10,60,0,100,100
2009,1,1,18,10,60,0,100,100
2009,1,1,19,10,60,0,100,100
2009,1,1,20,10,60,0,100,100
2009,1,1,21,10,60,0,100,100
2009,1,1,22,10,60,0,100,100
2009,1,1,23,10,60,0,100,100
2009,1,1,24,10,60,0,100,100
2009,1,2,1,40,90,60,90,50
2009,1,2,2,40,90,60,90,50
2009,1,2,3,40,90,60,90,50
2009,1,2,4,40,90,60,90,50
2009,1,2,5,40,90,60,90,50
2009,1,2,6,40,90,60,90,50
2009,1,2,7,40,90,60,90,50
2009,1,2,8,40,90,60,90,50
2009,1,2,9,40,90,60,90,50
2009,1,2,10,40,90,60,90,50
2009,1,2,11,40,90,60,90,50
2009,1,2,12,40,90,60,90,50
2009,1,2,13,40,90,60,90,50
2009,1,2,14,40,90,60,90,50
2009,1,2,15,40,90,60,90,50
2009,1,2,16,40,90,60,90,50
2009,1,2,17,40,90,60,90,50
2009,1,2,18,40,90,60,90,50
2009,1,2,19,40,90,60,90,50
2009,1,2,20,40,90,60,90,50
2009,1,2,21,40,90,60,90,50
2009,1,2,22,40,90,60,90,50
2009,1,2,23,40,90,60,90,50
2009,1,2,24,40,90,60,90,50
2009,1,3,1,0,50,30,100,90
2009,1,3,2,0,50,30,100,90
2009,1,3,3,0,50,30,100,90
2009,1,3,4,0,50,30,100,90
2009,1,3,5,0,50,30,100,90
2009,1,3,6,0,50,30,100,90
2009,1,3,7,0,50,30,100,90
2009,1,3,8,0,50,30,100,90
2009,1,3,9,0,50,30,100,90
2009,1,3,10,0,50,30,100,90
2009,1,3,11,0,50,30,100,90
2009,1,3,12,0,50,30,100,90
2009,1,3,13,0,50,30,100,90
2009,1,3,14,0,50,30,100,90
2009,1,3,15,0,50,30,100,90
2009,1,3,16,0,50,30,100,90
2009,1,3,17,0,50,30,100,90
2009,1,3,18,0,50,30,100,90
2009,1,3,19,0,50,30,100,90
2009,1,3,20,0,50,30,100,90
2009,1,3,21,0,50,30,100,90
2009,1,3,22,0,50,30,100,90
2009,1,3,23,0,50,30,100,90
2009,1,3,24,0,50,30,100,90
2009,1,4,1,70,20,20,60,40
2009,1,4,2,70,20,20,60,40
2009,1,4,3,70,20,20,60,40
2009,1,4,4,70,20,20,60,40
2009,1,4,5,70,20,20,60,40
2009,1,4,6,70,20,20,60,40
2009,1,4,7,70,20,20,60,40
2009,1,4,8,70,20,20,60,40
2009,1,4,9,70,20,20,60,40
2009,1,4,10,70,20,20,60,40
2009,1,4,11,70,20,20,60,40
2009,1,4,12,70,20,20,60,40
2009,1,4,13,70,20,20,60,40
2009,1,4,14,70,20,20,60,40
2009,1,4,15,70,20,20,60,40
2009,1,4,16,70,20,20,60,40
2009,1,4,17,70,20,20,60,40
2009,1,4,18,70,20,20,60,40
2009,1,4,19,70,20,20,60,40
2009,1,4,20,70,20,20,60,40
2009,1,4,21,70,20,20,60,40
2009,1,4,22,70,20,20,60,40
2009,1,4,23,70,20,20,60,40
2009,1,4,24,70,20,20,60,40
2009,1,5,1,80,40,20,30,100
2009,1,5,2,80,40,20,30,100
2009,1,5,3,80,40,20,30,100
2009,1,5,4,80,40,20,30,100
2009,1,5,5,80,40,20,30,100
2009,1,5,6,80,40,20,30,100
2009,1,5,7,80,40,20,30,100
2009,1,5,8,80,40,20,30,100
2009,1,5,9,80,40,20,30,100
2009,1,5,10,80,40,20,30,100
2009,1,5,11,80,40,20,30,100
2009,1,5,12,80,40,20,30,100
2009,1,5,13,80,40,20,30,100
2009,1,5,14,80,40,20,30,100
2009,1,5,15,80,40,20,30,100
2009,1,5,16,80,40,20,30,100
2009,1,5,17,80,40,20,30,100
2009,1,5,18,80,40,20,30,100
2009,1,5,19,80,40,20,30,100
2009,1,5,20,80,40,20,30,100
2009,1,5,21,80,40,20,30,100
2009,1,5,22,80,40,20,30,100
2009,1,5,23,80,40,20,30,100
2009,1,5,24,80,40,20,30,100
2009,1,6,1,40,50,20,50,20
2009,1,6,2,40,50,20,50,20
2009,1,6,3,40,50,20,50,20
2009,1,6,4,40,50,20,50,20
2009,1,6,5,40,50,20,50,20
2009,1,6,6,40,50,20,50,20
2009,1,6,7,40,50,20,50,20
2009,1,6,8,40,50,20,50,20
2009,1,6,9,40,50,20,50,20
2009,1,6,10,40,50,20,50,20
2009,1,6,11,40,50,20,50,20
2009,1,6,12,40,50,20,50,20
2009,1,6,13,40,50,20,50,20
2009,1,6,14,40,50,20,50,20
2009,1,6,15,40,50,20,50,20
2009,1,6,16,40,50,20,50,20
2009,1,6,17,40,50,20,50,20
2009,1,6,18,40,50,20,50,20
2009,1,6,19,40,50,20,50,20
2009,1,6,20,40,50,20,50,20
2009,1,6,21,40,50,20,50,20
2009,1,6,22,40,50,20,50,20
2009,1,6,23,40,50,20,50,20
2009,1,6,24,40,50,20,50,20
2009,1,7,1,30,50,50,50,100
2009,1,7,2,30,50,50,50,100
2009,1,7,3,30,50,50,50,100
