Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009,1,1,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,2,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,3,0.518012141507417,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.518012141507417,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,4,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,5,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,6,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,7,0.429201756824436,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.429201756824436,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,8,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,9,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,10,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,11,0.482783317119555,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.482783317119555,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,12,0.43044781144137,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.43044781144137,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,13,0.429871531819658,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.429871531819658,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,14,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,15,0.44063805402124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.44063805402124,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,16,0.420940860267148,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.420940860267148,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,17,0.431482649272095,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.431482649272095,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,18,0.433267908975082,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.433267908975082,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,19,0.526299098945506,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.526299098945506,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,20,0.433302801449057,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.433302801449057,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,21,0.490188414808651,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.490188414808651,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,22,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,23,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,24,0.458069040499677,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.458069040499677,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,25,0.492618649458413,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.492618649458413,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,26,0.427808979037436,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.427808979037436,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,27,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,28,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,29,0.448553361837078,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.448553361837078,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,30,0.434481280751113,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.434481280751113,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,1,31,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,1,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,2,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,3,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,4,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,5,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,6,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,7,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,8,0.434885433065416,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.434885433065416,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,9,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,10,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,11,0.409885111668409,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.409885111668409,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,12,0.411092456914331,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.411092456914331,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,13,0.526778246436137,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.526778246436137,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,14,0.461693604796045,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.461693604796045,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,15,0.46741067720293,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.46741067720293,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,16,0.523226989852394,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.523226989852394,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,17,0.514996899289675,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.514996899289675,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,18,0.525797391294166,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.525797391294166,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,19,0.483108084605354,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.483108084605354,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,20,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,21,0.443635340152565,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.443635340152565,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,22,0.415282926198121,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.415282926198121,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,23,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,24,0.422911199701853,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.422911199701853,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,25,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,26,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,27,0.477923140389928,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.477923140389928,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,2,28,0.451835602834064,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.451835602834064,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,1,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,2,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,3,0.480635309667524,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.480635309667524,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,4,0.471500711332547,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.471500711332547,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,5,0.435474832780244,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.435474832780244,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,6,0.547787033694153,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.547787033694153,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,7,0.417226438323019,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.417226438323019,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,8,0.426533141139489,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.426533141139489,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,9,0.554985006791623,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.554985006791623,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,10,0.602455825188321,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.602455825188321,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,11,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,12,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,13,0.491321324746789,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.491321324746789,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,14,0.488943690231416,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.488943690231416,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,15,0.435685298648899,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.435685298648899,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,16,0.476534302443587,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.476534302443587,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,17,0.545468989226304,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.545468989226304,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,18,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,19,0.436553748160636,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.436553748160636,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,20,0.516094162389681,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.516094162389681,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,21,0.423397491223546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.423397491223546,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,22,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,23,0.448034861755801,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.448034861755801,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,24,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,25,0.454017021533906,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.454017021533906,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,26,0.551013202266765,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.551013202266765,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,27,0.488425954343751,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.488425954343751,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,28,0.453844251522102,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.453844251522102,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,29,0.533537122705372,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.533537122705372,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,30,0.589552503785269,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.589552503785269,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,3,31,0.480252461944266,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.480252461944266,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,1,0.484582780724894,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.484582780724894,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,2,0.42622414116729,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.42622414116729,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,3,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,4,0.435216672891674,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.435216672891674,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,5,0.479424557086966,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.479424557086966,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,6,0.459428741102002,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.459428741102002,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,7,0.462109342581678,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.462109342581678,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,8,0.55274713304144,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.55274713304144,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,9,0.667511261208783,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.667511261208783,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,10,0.587137322191987,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.587137322191987,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,11,0.632665502715528,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.632665502715528,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,12,0.626629533317425,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.626629533317425,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,13,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,14,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.4032,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,15,0.543669275411024,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.543669275411024,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,16,0.481965276498281,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.481965276498281,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,17,0.509350428635276,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.509350428635276,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,18,0.649168726083046,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.649168726083046,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,19,0.587455157933093,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.587455157933093,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,20,0.601212658257746,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.601212658257746,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,21,0.582931119379854,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.582931119379854,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,22,0.663505617144979,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.663505617144979,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,23,0.589186895759355,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.589186895759355,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,24,0.521499697779338,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.521499697779338,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,25,0.605432218305491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.605432218305491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2009,4,26,0.654394603911181,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.654394603911181,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
