Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009,1,1,8.193319222,5.577937663,3.899424218,5.117050878,6.989780805,7.964888436,9.624282122,9.866801151,9.996614241,8.497222735,5.334412331,3.570363129,2.662677802,2.546952954,2.135375017,0.660134784,0.234468605,0.862401692,2.386950773,3.712251856,3.399291615,2.868969922,3.161804102,1.860654292
2009,1,2,0.201260605,0.021132364,0,0,0,0,0,0,0,0,0,0.050315151,0.063397091,0.056352969,0.039245818,0.098617696,0.09660509,0.088554666,0.004025212,0,0,0,0,0
2009,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701393208,1.904931625,3.107463738,4.311002155,5.513534269,6.716066383,8.430806736,9.995607938,9.397863942,3.278535253
2009,1,4,8.386529403,7.80991777,3.868228825,1.055611872,0,0,0,0,0,0,0,0,0.54239733,9.94629909,8.843390976,9.443147578,9.880889394,9.943280181,9.881895697,9.991582726,9.795353637,1.844553443,0,0
2009,1,5,0,0,0,2.753245074,10.00868988,9.905040666,9.955355817,9.95636212,9.922147818,9.923154121,5.812406267,0.600762905,0.934855509,1.502410415,2.417139864,1.425931385,3.117526769,2.736137923,4.116785672,3.723321189,3.183942768,5.168372332,7.264501531,7.497963833
2009,1,6,5.312273664,2.431228106,0.677241935,0.009056727,0,0,0,0,0,0,0,0.028176485,0,0.018113454,0.062390787,0.150945454,0.007044121,0.009056727,0.01006303,0.012075636,0.014088242,1.216620356,0.170065211,0.016100848
2009,1,7,0.008050424,0,0.003018909,0.013081939,0.334092604,0.827181086,0.872464722,0.526296482,1.248822053,1.827446292,2.896140103,2.138393926,2.357767985,1.64731805,5.552780087,8.517348796,3.199037314,0.563529693,0.012075636,0.055346666,0.065409697,0.181134544,0.255600968,0.342143028
2009,1,8,0.274720726,0.101636605,1.169324114,3.178911253,4.82824191,5.144221059,6.571158747,7.009906866,3.943701551,3.604577432,0.567554906,0.077485333,3.08129986,6.11630978,3.38419707,2.440284833,1.971347624,1.775118535,1.229702295,2.598274408,6.741223958,8.019228799,3.946720461,2.978656951
2009,1,9,3.272497434,3.155766284,8.597853038,6.141467356,2.947461558,4.607861547,8.660243825,8.227533525,5.560830511,7.369157045,9.917116302,7.778722376,3.864203613,4.689372092,5.731902025,6.09618372,6.468515839,6.840847958,7.304753652,7.840106861,8.162123828,9.649439698,9.995607938,5.41391027
2009,1,10,1.326307386,3.70017622,9.525664426,9.819504909,9.924160424,9.432078245,4.391506397,8.216464192,9.980513393,9.939254969,9.845668788,9.982525999,8.672319462,5.523597299,5.993540812,7.076322865,3.994016703,4.022193187,2.307452834,3.839046037,3.764579613,1.455114173,0.808061328,0.123775272
2009,1,11,0.193210181,0.222392968,1.725809686,9.165407943,5.967376933,1.114983751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,12,0,0,3.836027128,9.439122366,7.222236804,6.405118748,2.686829074,1.778137444,2.744188347,2.240030532,0.647052844,0.281764847,1.916000958,1.345427143,1.512473445,2.702929923,3.878291855,5.104975241,6.298450628,7.498970136,8.552569402,8.800119946,5.857689903,7.759602619
2009,1,13,4.511256457,2.028706897,0.442773331,0,0,0,0,0,0,0,0,0,0,0.030189091,0.088554666,0,0,0,0,0,0,0,0,0
2009,1,14,0,0,0,0,0,0,0,0.050315151,0.090567272,0.078491636,0.003018909,0,0,0,0,0,0,0.034214303,0.040252121,0,0,0,0.015094545,0.02314497
