Year,Month,Day,Period,Load
2009,1,1,1,599.9
2009,1,1,2,597.8
2009,1,1,3,597.8
2009,1,1,4,599.9
2009,1,1,5,613.2
2009,1,1,6,662.2
2009,1,1,7,690.9
2009,1,1,8,705.6
2009,1,1,9,725.9
2009,1,1,10,745.5
2009,1,1,11,756
2009,1,1,12,754.6
2009,1,1,13,754.6
2009,1,1,14,751.1
2009,1,1,15,737.1
2009,1,1,16,725.2
2009,1,1,17,816.2
2009,1,1,18,903.7
2009,1,1,19,889
2009,1,1,20,847.7
2009,1,1,21,780.5
2009,1,1,22,695.8
2009,1,1,23,635.6
2009,1,1,24,611.1
2009,1,2,1,602
2009,1,2,2,599.9
2009,1,2,3,599.9
2009,1,2,4,602.7
2009,1,2,5,620.2
2009,1,2,6,678.3
2009,1,2,7,704.9
2009,1,2,8,733.6
2009,1,2,9,753.2
2009,1,2,10,773.5
2009,1,2,11,770.7
2009,1,2,12,760.2
2009,1,2,13,764.4
2009,1,2,14,754.6
2009,1,2,15,740.6
2009,1,2,16,720.3
2009,1,2,17,817.6
2009,1,2,18,921.9
2009,1,2,19,916.3
2009,1,2,20,875
2009,1,2,21,804.3
2009,1,2,22,713.3
2009,1,2,23,646.8
2009,1,2,24,618.8
2009,1,3,1,606.9
2009,1,3,2,603.4
2009,1,3,3,604.1
2009,1,3,4,609.7
2009,1,3,5,640.5
2009,1,3,6,714.7
2009,1,3,7,757.4
2009,1,3,8,776.3
2009,1,3,9,792.4
2009,1,3,10,812.7
2009,1,3,11,799.4
2009,1,3,12,779.1
2009,1,3,13,777.7
2009,1,3,14,772.1
2009,1,3,15,737.1
2009,1,3,16,721.7
2009,1,3,17,800.8
2009,1,3,18,875
2009,1,3,19,859.6
2009,1,3,20,841.4
2009,1,3,21,783.3
2009,1,3,22,727.3
2009,1,3,23,660.8
2009,1,3,24,632.8
2009,1,4,1,617.4
2009,1,4,2,608.3
2009,1,4,3,608.3
2009,1,4,4,610.4
2009,1,4,5,620.9
2009,1,4,6,640.5
2009,1,4,7,646.8
2009,1,4,8,674.8
2009,1,4,9,686.7
2009,1,4,10,704.9
2009,1,4,11,701.4
2009,1,4,12,692.3
2009,1,4,13,680.4
2009,1,4,14,669.2
2009,1,4,15,661.5
2009,1,4,16,658.7
2009,1,4,17,745.5
2009,1,4,18,814.8
2009,1,4,19,791
2009,1,4,20,772.1
2009,1,4,21,730.8
2009,1,4,22,678.3
2009,1,4,23,634.9
2009,1,4,24,617.4
2009,1,5,1,604.8
2009,1,5,2,599.2
2009,1,5,3,598.5
2009,1,5,4,597.1
2009,1,5,5,599.2
2009,1,5,6,603.4
2009,1,5,7,602.7
2009,1,5,8,607.6
2009,1,5,9,615.3
2009,1,5,10,628.6
2009,1,5,11,636.3
2009,1,5,12,640.5
2009,1,5,13,641.2
2009,1,5,14,643.3
2009,1,5,15,639.1
2009,1,5,16,645.4
2009,1,5,17,718.2
2009,1,5,18,807.1
2009,1,5,19,808.5
2009,1,5,20,777.7
2009,1,5,21,727.3
2009,1,5,22,659.4
2009,1,5,23,619.5
2009,1,5,24,604.1
2009,1,6,1,600.6
2009,1,6,2,597.8
2009,1,6,3,599.9
2009,1,6,4,604.1
2009,1,6,5,632.8
2009,1,6,6,734.3
2009,1,6,7,783.3
2009,1,6,8,802.2
2009,1,6,9,817.6
2009,1,6,10,846.3
2009,1,6,11,821.1
2009,1,6,12,825.3
2009,1,6,13,819
2009,1,6,14,798
2009,1,6,15,784.7
2009,1,6,16,779.1
2009,1,6,17,882
2009,1,6,18,1026.9
2009,1,6,19,1029
2009,1,6,20,984.9
2009,1,6,21,887.6
2009,1,6,22,757.4
2009,1,6,23,670.6
2009,1,6,24,642.6
2009,1,7,1,628.6
2009,1,7,2,618.1
2009,1,7,3,624.4
2009,1,7,4,639.8
2009,1,7,5,683.2
2009,1,7,6,847.7
2009,1,7,7,901.6
2009,1,7,8,877.1
2009,1,7,9,868
2009,1,7,10,864.5
2009,1,7,11,846.3
2009,1,7,12,817.6
2009,1,7,13,811.3
2009,1,7,14,795.2
2009,1,7,15,712.6
2009,1,7,16,703.5
2009,1,7,17,903.7
2009,1,7,18,1007.3
2009,1,7,19,1016.4
2009,1,7,20,987
2009,1,7,21,900.2
2009,1,7,22,774.9
2009,1,7,23,666.4
2009,1,7,24,639.8
2009,1,8,1,628.6
2009,1,8,2,628.6
2009,1,8,3,627.2
2009,1,8,4,640.5
2009,1,8,5,697.2
2009,1,8,6,858.2
2009,1,8,7,898.1
2009,1,8,8,859.6
2009,1,8,9,873.6
2009,1,8,10,844.9
2009,1,8,11,842.8
2009,1,8,12,828.8
2009,1,8,13,796.6
2009,1,8,14,798
2009,1,8,15,777.7
2009,1,8,16,776.3
2009,1,8,17,891.1
2009,1,8,18,1005.2
2009,1,8,19,1018.5
2009,1,8,20,968.8
2009,1,8,21,878.5
2009,1,8,22,749.7
2009,1,8,23,662.2
2009,1,8,24,636.3
2009,1,9,1,620.9
2009,1,9,2,619.5
2009,1,9,3,618.8
2009,1,9,4,629.3
2009,1,9,5,665.7
2009,1,9,6,798
2009,1,9,7,853.3
2009,1,9,8,831.6
2009,1,9,9,830.2
2009,1,9,10,833.7
2009,1,9,11,833.7
2009,1,9,12,814.8
2009,1,9,13,811.3
2009,1,9,14,787.5
2009,1,9,15,777.7
2009,1,9,16,761.6
2009,1,9,17,844.9
2009,1,9,18,974.4
2009,1,9,19,960.4
2009,1,9,20,918.4
2009,1,9,21,835.1
2009,1,9,22,725.2
2009,1,9,23,653.1
2009,1,9,24,624.4
2009,1,10,1,616.7
2009,1,10,2,608.3
2009,1,10,3,611.8
2009,1,10,4,622.3
2009,1,10,5,658.7
2009,1,10,6,777.7
2009,1,10,7,836.5
2009,1,10,8,830.2
2009,1,10,9,828.8
2009,1,10,10,825.3
2009,1,10,11,805.7
2009,1,10,12,804.3
2009,1,10,13,796.6
2009,1,10,14,776.3
2009,1,10,15,753.2
2009,1,10,16,744.8
